Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,ML_Segment,Cluster
12346.0,2,3,90.0,4,4,1,441,⭐ Loyal Customers,Low Value,0
12358.0,8,1,1429.83,2,1,4,214,😴 Hibernating,High Value,3
12359.0,10,1,760.69,2,1,4,214,😴 Hibernating,High Value,3
12362.0,15,1,130.0,1,1,1,111,😴 Hibernating,Inactive,3
12417.0,6,2,317.6,3,3,2,332,📈 Potential Loyalists,Low Value,2
12435.0,13,1,1008.0,1,1,4,114,😴 Hibernating,High Value,3
12437.0,13,1,578.28,1,1,3,113,😴 Hibernating,Medium Value,3
12439.0,2,1,1081.66,4,1,4,414,🆕 New Customers,High Value,2
12443.0,8,1,485.31,2,1,3,213,😴 Hibernating,Medium Value,3
12471.0,1,4,2466.29,4,4,4,444,👑 Champions,High Value,0
12472.0,2,1,1286.43,4,1,4,414,🆕 New Customers,High Value,2
12487.0,7,1,285.29999999999995,3,1,2,312,🆕 New Customers,Low Value,2
12490.0,14,1,603.94,1,1,3,113,😴 Hibernating,Medium Value,3
12510.0,11,1,435.88,2,1,3,213,😴 Hibernating,Medium Value,3
12523.0,8,1,74.56,2,1,1,211,😴 Hibernating,Low Value,3
12533.0,15,1,929.92,1,1,4,114,😴 Hibernating,High Value,3
12540.0,8,1,412.6,2,1,3,213,😴 Hibernating,Medium Value,3
12577.0,12,1,210.55,1,1,2,112,😴 Hibernating,Inactive,3
12583.0,10,1,817.4399999999999,2,1,4,214,😴 Hibernating,High Value,3
12600.0,2,2,433.89000000000004,4,3,3,433,⭐ Loyal Customers,Medium Value,2
12613.0,1,1,1350.81,4,1,4,414,🆕 New Customers,High Value,2
12636.0,15,1,141.0,1,1,1,111,😴 Hibernating,Inactive,3
12664.0,3,1,549.08,3,1,3,313,🆕 New Customers,Medium Value,2
12681.0,2,1,1014.54,4,1,4,414,🆕 New Customers,High Value,2
12682.0,7,2,934.2,3,4,4,344,👑 Champions,High Value,2
12683.0,2,1,258.3,4,1,2,412,🆕 New Customers,Low Value,2
12709.0,6,2,1661.56,3,4,4,344,👑 Champions,High Value,2
12712.0,7,1,333.8,3,1,3,313,🆕 New Customers,Medium Value,2
12714.0,12,1,682.65,1,1,4,114,😴 Hibernating,High Value,3
12747.0,0,3,1032.0,4,4,4,444,👑 Champions,High Value,0
12748.0,0,3,1037.2,4,4,4,444,👑 Champions,High Value,0
12758.0,14,1,2454.68,1,1,4,114,😴 Hibernating,High Value,3
12759.0,12,1,508.26,1,1,3,113,😴 Hibernating,Medium Value,3
12779.0,13,1,371.82,1,1,3,113,😴 Hibernating,Medium Value,3
12785.0,7,1,366.9,3,1,3,313,🆕 New Customers,Medium Value,2
12820.0,10,1,148.3,2,1,1,211,😴 Hibernating,Low Value,3
12835.0,1,4,979.36,4,4,4,444,👑 Champions,High Value,0
12836.0,14,1,423.87,1,1,3,113,😴 Hibernating,Medium Value,3
12839.0,1,2,653.24,4,4,4,444,👑 Champions,High Value,2
12842.0,14,1,397.20000000000005,1,1,3,113,😴 Hibernating,Medium Value,3
12843.0,3,1,76.84,3,1,1,311,🆕 New Customers,Low Value,2
12854.0,4,1,525.34,3,1,3,313,🆕 New Customers,Medium Value,2
12872.0,12,1,407.22,1,1,3,113,😴 Hibernating,Medium Value,3
